Vivado Simulator 2019.1
Time resolution is 1 ps
0 0	 1	 xxxx	 xxxx	 
5000 1	 1	 xxxx	 xxxx	 
8000 1	 0	 xxxx	 0000	 
10000 0	 0	 xxxx	 0000	 
15000 1	 0	 xxxx	 0000	 
16000 1	 1	 0010	 0000	 
20000 0	 1	 0010	 0000	 
24000 0	 1	 0100	 0000	 
25000 1	 1	 0100	 0100	 
30000 0	 1	 0100	 0100	 
32000 0	 1	 0001	 0100	 
35000 1	 1	 0001	 0001	 
40000 0	 1	 0011	 0001	 
45000 1	 1	 0011	 0011	 
48000 1	 1	 1100	 0011	 
50000 0	 1	 1100	 0011	 
55000 1	 1	 1100	 1100	 
56000 1	 1	 0110	 1100	 
60000 0	 1	 0110	 1100	 
64000 0	 1	 0011	 1100	 
65000 1	 1	 0011	 0011	 
66000 1	 1	 0100	 0011	 
70000 0	 1	 0100	 0011	 
74000 0	 1	 1100	 0011	 
82000 0	 1	 0110	 0011	 
90000 0	 1	 0011	 0011	 
92000 0	 1	 0100	 0011	 
$finish called at time : 100 ns : File "/home/it/Vivado_Projects/Lab4_Task3/Lab4_Task3.srcs/sim_1/new/regs_4_bit_tb.sv" Line 42
