Vivado Simulator 2019.1
Time resolution is 1 ps
0 0	 0	 x	 x	 0	 00
1000 0	 1	 2	 3	 0	 00
5000 1	 1	 2	 3	 1	 02
10000 0	 1	 2	 3	 1	 02
15000 1	 1	 2	 3	 2	 04
20000 0	 1	 2	 3	 2	 04
25000 1	 1	 2	 3	 3	 06
30000 0	 1	 2	 3	 3	 06
35000 1	 1	 2	 3	 3	 06
40000 0	 1	 2	 3	 3	 06
45000 1	 1	 2	 3	 3	 06
50000 0	 1	 2	 3	 3	 06
55000 1	 1	 2	 3	 3	 06
60000 0	 1	 2	 3	 3	 06
65000 1	 1	 2	 3	 3	 06
70000 0	 1	 2	 3	 3	 06
75000 1	 1	 2	 3	 3	 06
80000 0	 1	 2	 3	 3	 06
$finish called at time : 81 ns : File "/home/it/Vivado_Projects/Lab4_Task5/Lab4_Task5.srcs/sim_1/new/mul_tb.sv" Line 26
